game,rounds_per_game,initial_funds,initial_wager,progression_type,progression_interval,progression_amt,bank,bank_rate,members,dead,death_rate,avg_nw,avg_nb_nw,profit_rate,avg_p_nw
bpf_midnight_craps,200,2000,89,unit,15,7.9,False,,1000,855,85.5,934.5808000000004,6780.486206896554,13.4,7313.314925373137
bpf_midnight_craps,200,2000,89,unit,15,7.9,False,,1000,844,84.39999999999999,978.6418000000006,6581.050000000003,13.700000000000001,7474.022627737229
bpf_midnight_craps,200,2000,89,unit,15,7.9,False,,1000,855,85.5,930.5690000000004,6746.058620689659,12.2,7976.316393442626
bpf_midnight_craps,200,2000,89,unit,15,7.9,False,,1000,852,85.2,941.8178000000005,6692.7121621621645,12.2,8070.718032786888
bpf_midnight_craps,200,2000,89,unit,15,7.9,False,,1000,852,85.2,905.8368000000004,6454.131081081084,13.0,7315.130769230772
bpf_midnight_craps,200,2000,89,unit,15,7.9,False,,1000,856,85.6,878.7622000000005,6438.59166666667,12.1,7624.490082644631
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4719,94.38,972.4574,24067.338078291818,5.62,24067.338078291818
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4696,93.92,1121.3327,24690.914473684214,6.08,24690.914473684214
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4743,94.86,851.0207,24110.385214007787,5.140000000000001,24110.385214007787
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4704,94.08,1016.4986,23652.489864864867,5.92,23652.489864864867
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4706,94.12,1055.8526,24408.07142857143,5.88,24408.07142857143
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4712,94.24,1071.6236,25201.062500000004,5.76,25201.062500000004
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4718,94.36,928.3364,23333.54255319149,5.64,23333.54255319149
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4709,94.17999999999999,1046.201,24611.587628865982,5.82,24611.587628865982
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4701,94.02000000000001,1132.1099,25349.89297658863,5.9799999999999995,25349.89297658863
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4730,94.6,775.7021,21566.16666666667,5.4,21566.16666666667
bpf_midnight_craps,200,2000,105,ratio,16,9.3,False,,5000,4707,94.14,1036.5326,24167.25597269625,5.86,24167.25597269625
